base_model,model_name,task_name,score
llama3,original_llama3,elementary_math_qa elementary_math_qa:language_hint_only,0.3
llama3,original_llama3,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.3
llama3,original_llama3,elementary_math_qa elementary_math_qa:question_only,0.2
llama3,original_llama3,elementary_math_qa elementary_math_qa:question_with_language_hint,0.2
llama3,original_llama3,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.2
llama3,original_llama3,elementary_math_qa elementary_math_qa,0.24
llama3,llama3_0x1,elementary_math_qa elementary_math_qa:language_hint_only,0.15
llama3,llama3_0x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.15
llama3,llama3_0x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_0x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_0x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_0x1,elementary_math_qa elementary_math_qa,0.21
llama3,llama3_1x1,elementary_math_qa elementary_math_qa:language_hint_only,0.2
llama3,llama3_1x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.2
llama3,llama3_1x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_1x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_1x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_1x1,elementary_math_qa elementary_math_qa,0.23
llama3,llama3_2x1,elementary_math_qa elementary_math_qa:language_hint_only,0.05
llama3,llama3_2x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.05
llama3,llama3_2x1,elementary_math_qa elementary_math_qa:question_only,0.0
llama3,llama3_2x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.0
llama3,llama3_2x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.0
llama3,llama3_2x1,elementary_math_qa elementary_math_qa,0.02
llama3,llama3_3x1,elementary_math_qa elementary_math_qa:language_hint_only,0.1
llama3,llama3_3x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.1
llama3,llama3_3x1,elementary_math_qa elementary_math_qa:question_only,0.1
llama3,llama3_3x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.1
llama3,llama3_3x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.1
llama3,llama3_3x1,elementary_math_qa elementary_math_qa,0.1
llama3,llama3_4x1,elementary_math_qa elementary_math_qa:language_hint_only,0.3
llama3,llama3_4x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.3
llama3,llama3_4x1,elementary_math_qa elementary_math_qa:question_only,0.2
llama3,llama3_4x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.2
llama3,llama3_4x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.2
llama3,llama3_4x1,elementary_math_qa elementary_math_qa,0.24
llama3,llama3_5x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
llama3,llama3_5x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
llama3,llama3_5x1,elementary_math_qa elementary_math_qa:question_only,0.15
llama3,llama3_5x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.15
llama3,llama3_5x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.15
llama3,llama3_5x1,elementary_math_qa elementary_math_qa,0.19
llama3,llama3_6x1,elementary_math_qa elementary_math_qa:language_hint_only,0.05
llama3,llama3_6x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.05
llama3,llama3_6x1,elementary_math_qa elementary_math_qa:question_only,0.2
llama3,llama3_6x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.2
llama3,llama3_6x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.2
llama3,llama3_6x1,elementary_math_qa elementary_math_qa,0.14
llama3,llama3_7x1,elementary_math_qa elementary_math_qa:language_hint_only,0.15
llama3,llama3_7x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.15
llama3,llama3_7x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_7x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_7x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_7x1,elementary_math_qa elementary_math_qa,0.21
llama3,llama3_8x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
llama3,llama3_8x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
llama3,llama3_8x1,elementary_math_qa elementary_math_qa:question_only,0.3
llama3,llama3_8x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.3
llama3,llama3_8x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.3
llama3,llama3_8x1,elementary_math_qa elementary_math_qa,0.27999999999999997
