base_model,model_name,task_name,score
pythia_small,original_pythia,elementary_math_qa elementary_math_qa:language_hint_only,0.22
pythia_small,original_pythia,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.22
pythia_small,original_pythia,elementary_math_qa elementary_math_qa:question_only,0.225
pythia_small,original_pythia,elementary_math_qa elementary_math_qa:question_with_language_hint,0.225
pythia_small,original_pythia,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.225
pythia_small,original_pythia,elementary_math_qa elementary_math_qa,0.223
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa:language_hint_only,0.225
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.225
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa:question_only,0.22
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.22
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.22
pythia_small,pythia_0x1,elementary_math_qa elementary_math_qa,0.222
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa:language_hint_only,0.21
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.21
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa:question_only,0.17
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.17
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.17
pythia_small,pythia_1x1,elementary_math_qa elementary_math_qa,0.186
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa:language_hint_only,0.155
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.155
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa:question_only,0.17
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.17
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.17
pythia_small,pythia_2x1,elementary_math_qa elementary_math_qa,0.164
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa:language_hint_only,0.155
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.155
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa:question_only,0.18
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.18
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.18
pythia_small,pythia_3x1,elementary_math_qa elementary_math_qa,0.16999999999999998
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa:language_hint_only,0.175
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.175
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa:question_only,0.13
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.13
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.13
pythia_small,pythia_4x1,elementary_math_qa elementary_math_qa,0.148
pythia_small,pythia_5x1,elementary_math_qa elementary_math_qa:language_hint_only,0.22
pythia_small,pythia_5x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.22
