base_model,model_name,task_name,score
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_31x16,elementary_math_qa elementary_math_qa,0.25
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa:question_only,0.2
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.2
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.2
pythia_big,pythia_30x16,elementary_math_qa elementary_math_qa,0.22
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_29x16,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa:language_hint_only,0.3
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.3
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_28x16,elementary_math_qa elementary_math_qa,0.28500000000000003
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa:language_hint_only,0.225
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.225
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_27x16,elementary_math_qa elementary_math_qa,0.255
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa:question_only,0.225
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.225
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.225
pythia_big,pythia_26x16,elementary_math_qa elementary_math_qa,0.23500000000000001
pythia_big,pythia_25x16,elementary_math_qa elementary_math_qa:language_hint_only,0.225
pythia_big,pythia_25x16,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.225
pythia_big,pythia_25x16,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_25x16,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_25x16,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
