base_model,model_name,task_name,score
pythia_small,original_pythia,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,original_pythia,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,original_pythia,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,original_pythia,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,original_pythia,boolean_expressions boolean_expressions: 5 tokens.,0.4777777777777778
pythia_small,original_pythia,boolean_expressions boolean_expressions: 6 tokens.,0.53
pythia_small,original_pythia,boolean_expressions boolean_expressions: 7 tokens.,0.53
pythia_small,original_pythia,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 1 tokens.,1.0
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 3 tokens.,0.6666666666666666
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 4 tokens.,0.5909090909090909
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 5 tokens.,0.6111111111111112
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 6 tokens.,0.53
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 7 tokens.,0.55
pythia_small,pythia_0x1,boolean_expressions boolean_expressions: 8 tokens.,0.5
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 1 tokens.,1.0
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 3 tokens.,0.6666666666666666
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 4 tokens.,0.5909090909090909
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 5 tokens.,0.6111111111111112
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 6 tokens.,0.52
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 7 tokens.,0.59
pythia_small,pythia_1x1,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 5 tokens.,0.4777777777777778
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 6 tokens.,0.54
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 7 tokens.,0.49
pythia_small,pythia_2x1,boolean_expressions boolean_expressions: 8 tokens.,0.5
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 5 tokens.,0.5222222222222223
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 6 tokens.,0.47
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 7 tokens.,0.56
pythia_small,pythia_3x1,boolean_expressions boolean_expressions: 8 tokens.,0.56
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 5 tokens.,0.4777777777777778
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 6 tokens.,0.53
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 7 tokens.,0.53
pythia_small,pythia_4x1,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 5 tokens.,0.4777777777777778
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 6 tokens.,0.53
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 7 tokens.,0.53
pythia_small,pythia_5x1,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 1 tokens.,1.0
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 3 tokens.,0.6666666666666666
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 4 tokens.,0.5909090909090909
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 5 tokens.,0.6111111111111112
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 6 tokens.,0.52
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 7 tokens.,0.59
pythia_small,pythia_0x2,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 1 tokens.,1.0
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 3 tokens.,0.6666666666666666
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 4 tokens.,0.5909090909090909
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 5 tokens.,0.6111111111111112
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 6 tokens.,0.52
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 7 tokens.,0.59
pythia_small,pythia_1x2,boolean_expressions boolean_expressions: 8 tokens.,0.54
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 4 tokens.,0.5
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 5 tokens.,0.4777777777777778
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 6 tokens.,0.54
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 7 tokens.,0.49
pythia_small,pythia_2x2,boolean_expressions boolean_expressions: 8 tokens.,0.5
pythia_small,pythia_3x2,boolean_expressions boolean_expressions: 1 tokens.,0.5
pythia_small,pythia_3x2,boolean_expressions boolean_expressions: 2 tokens.,0.5
pythia_small,pythia_3x2,boolean_expressions boolean_expressions: 3 tokens.,0.5
pythia_small,pythia_3x2,boolean_expressions boolean_expressions: 4 tokens.,0.5
