base_model,model_name,task_name,score
pythia_big,original_pythia,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,original_pythia,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,original_pythia,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,original_pythia,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,original_pythia,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,original_pythia,elementary_math_qa elementary_math_qa,0.25
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa:language_hint_only,0.225
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.225
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_0x1,elementary_math_qa elementary_math_qa,0.255
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_1x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_2x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_3x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_4x1,elementary_math_qa elementary_math_qa,0.25
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_5x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_6x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_7x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_8x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_9x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa:question_only,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.275
pythia_big,pythia_10x1,elementary_math_qa elementary_math_qa,0.275
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_11x1,elementary_math_qa elementary_math_qa,0.25
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_12x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_13x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_14x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_15x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa:question_only,0.25
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
pythia_big,pythia_16x1,elementary_math_qa elementary_math_qa,0.26
pythia_big,pythia_17x1,elementary_math_qa elementary_math_qa:language_hint_only,0.275
pythia_big,pythia_17x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.275
pythia_big,pythia_17x1,elementary_math_qa elementary_math_qa:question_only,0.25
