base_model,model_name,task_name,score
llama3,original_llama3,conceptual_combinations conceptual_combinations:contradictions,0.375
llama3,original_llama3,conceptual_combinations conceptual_combinations:emergent_properties,0.25
llama3,original_llama3,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
llama3,original_llama3,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
llama3,original_llama3,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
llama3,original_llama3,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,original_llama3,conceptual_combinations conceptual_combinations,0.25562169312169314
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:emergent_properties,0.5
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
llama3,llama3_10x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.0
llama3,llama3_10x1,conceptual_combinations conceptual_combinations,0.2286706349206349
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:emergent_properties,0.5
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
llama3,llama3_11x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_11x1,conceptual_combinations conceptual_combinations,0.2683531746031746
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:contradictions,0.25
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:emergent_properties,0.4375
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.0
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
llama3,llama3_12x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_12x1,conceptual_combinations conceptual_combinations,0.2197420634920635
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:contradictions,0.1875
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:emergent_properties,0.1875
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:homonyms,0.2222222222222222
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
llama3,llama3_13x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_13x1,conceptual_combinations conceptual_combinations,0.1511243386243386
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:contradictions,0.25
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:emergent_properties,0.5625
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:invented_words,0.2857142857142857
llama3,llama3_14x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_14x1,conceptual_combinations conceptual_combinations,0.298776455026455
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:contradictions,0.25
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:emergent_properties,0.3125
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
llama3,llama3_15x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.0
llama3,llama3_15x1,conceptual_combinations conceptual_combinations,0.20089285714285715
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:contradictions,0.25
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:emergent_properties,0.25
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:invented_words,0.2857142857142857
llama3,llama3_16x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_16x1,conceptual_combinations conceptual_combinations,0.2328042328042328
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:contradictions,0.375
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:emergent_properties,0.3125
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:invented_words,0.2857142857142857
llama3,llama3_17x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_17x1,conceptual_combinations conceptual_combinations,0.2640542328042328
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:contradictions,0.3125
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:emergent_properties,0.375
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
llama3,llama3_18x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_18x1,conceptual_combinations conceptual_combinations,0.23363095238095238
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:contradictions,0.25
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:emergent_properties,0.375
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.16666666666666666
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:homonyms,0.4444444444444444
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:invented_words,0.21428571428571427
llama3,llama3_19x1,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_19x1,conceptual_combinations conceptual_combinations,0.25562169312169314
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:contradictions,0.375
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:emergent_properties,0.5625
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:fanciful_fictional_combinations,0.08333333333333333
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:homonyms,0.3333333333333333
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:invented_words,0.14285714285714285
llama3,llama3_10x2,conceptual_combinations conceptual_combinations:surprising_uncommon_combinations,0.08333333333333333
llama3,llama3_10x2,conceptual_combinations conceptual_combinations,0.26339285714285715
