base_model,model_name,task_name,score
pythia_big,original_pythia,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_0x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_1x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_2x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_3x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_4x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_5x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_6x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_7x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_8x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_9x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_10x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_11x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_12x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_13x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_14x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_15x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_16x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_17x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_18x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_19x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_20x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_21x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_22x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_23x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_24x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_25x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_26x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_27x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_28x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_29x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_30x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_31x1,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_0x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_1x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_2x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_3x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_4x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_5x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_6x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_7x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_8x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_9x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_10x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_11x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_12x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_13x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_14x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_15x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_16x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_17x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_18x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_19x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_20x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_21x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_22x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_23x2,fantasy_reasoning fantasy_reasoning,0.64
pythia_big,pythia_24x2,fantasy_reasoning fantasy_reasoning,0.64
