base_model,model_name,task_name,score
llama3,llama3_10x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
llama3,llama3_10x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
llama3,llama3_10x1,elementary_math_qa elementary_math_qa:question_only,0.4
llama3,llama3_10x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.4
llama3,llama3_10x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.4
llama3,llama3_10x1,elementary_math_qa elementary_math_qa,0.34
llama3,llama3_11x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
llama3,llama3_11x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
llama3,llama3_11x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_11x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_11x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_11x1,elementary_math_qa elementary_math_qa,0.25
llama3,llama3_12x1,elementary_math_qa elementary_math_qa:language_hint_only,0.2
llama3,llama3_12x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.2
llama3,llama3_12x1,elementary_math_qa elementary_math_qa:question_only,0.35
llama3,llama3_12x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.35
llama3,llama3_12x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.35
llama3,llama3_12x1,elementary_math_qa elementary_math_qa,0.29
llama3,llama3_13x1,elementary_math_qa elementary_math_qa:language_hint_only,0.25
llama3,llama3_13x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.25
llama3,llama3_13x1,elementary_math_qa elementary_math_qa:question_only,0.35
llama3,llama3_13x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.35
llama3,llama3_13x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.35
llama3,llama3_13x1,elementary_math_qa elementary_math_qa,0.31
llama3,llama3_14x1,elementary_math_qa elementary_math_qa:language_hint_only,0.15
llama3,llama3_14x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.15
llama3,llama3_14x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_14x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_14x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_14x1,elementary_math_qa elementary_math_qa,0.21
llama3,llama3_15x1,elementary_math_qa elementary_math_qa:language_hint_only,0.05
llama3,llama3_15x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.05
llama3,llama3_15x1,elementary_math_qa elementary_math_qa:question_only,0.35
llama3,llama3_15x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.35
llama3,llama3_15x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.35
llama3,llama3_15x1,elementary_math_qa elementary_math_qa,0.22999999999999998
llama3,llama3_16x1,elementary_math_qa elementary_math_qa:language_hint_only,0.3
llama3,llama3_16x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.3
llama3,llama3_16x1,elementary_math_qa elementary_math_qa:question_only,0.1
llama3,llama3_16x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.1
llama3,llama3_16x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.1
llama3,llama3_16x1,elementary_math_qa elementary_math_qa,0.18
llama3,llama3_17x1,elementary_math_qa elementary_math_qa:language_hint_only,0.1
llama3,llama3_17x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.1
llama3,llama3_17x1,elementary_math_qa elementary_math_qa:question_only,0.1
llama3,llama3_17x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.1
llama3,llama3_17x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.1
llama3,llama3_17x1,elementary_math_qa elementary_math_qa,0.1
llama3,llama3_18x1,elementary_math_qa elementary_math_qa:language_hint_only,0.2
llama3,llama3_18x1,elementary_math_qa elementary_math_qa:mathematical_hint_only,0.2
llama3,llama3_18x1,elementary_math_qa elementary_math_qa:question_only,0.25
llama3,llama3_18x1,elementary_math_qa elementary_math_qa:question_with_language_hint,0.25
llama3,llama3_18x1,elementary_math_qa elementary_math_qa:question_with_mathematical_hint,0.25
llama3,llama3_18x1,elementary_math_qa elementary_math_qa,0.23
